n_clusters,inertia_kmeans,inertia_minibatch
3,142387.5045137108,142663.86756276636
4,141394.86300816637,141642.174213294
5,140498.88305772142,140783.77644457138
6,139730.657659719,140105.06428823905
7,139063.4438954221,139467.59796059786
8,138448.41027762377,138838.20400000375
9,137945.9008341229,138318.51718219483
10,137458.97180625988,137830.78370751961
11,136965.60293132026,137413.31989791966
12,136541.6907484265,137080.10180833226
13,136166.91358700945,137065.59796099225
14,135792.43562408004,137064.31052405885
15,135420.52514134423,136417.2615307282
16,135116.46748447517,135753.91843299632
17,134823.424238301,135758.0221505731
18,134498.36066203465,135738.6308435608
19,134253.18124972706,135531.54731658692
