k,inertia
3,6971814051840.0
4,3747030237184.0
5,2173353066496.0
6,1422036697088.0
7,996079304704.0
8,722619269120.0
9,549238407168.0
10,451671752704.0
11,374860414976.0
12,336025321472.0
13,273829937152.0
14,235600150528.0
15,211806486528.0
16,192685047808.0
17,154790395904.0
18,134175236096.0
19,120593326080.0
20,108066635776.0
21,103290372096.0
22,91677818880.0
23,81738301440.0
24,75732385792.0
25,69987991552.0
26,63429324800.0
27,60638609408.0
28,57510993920.0
29,51617718272.0
30,47624339456.0
31,45046165504.0
32,44655968256.0
33,42502205440.0
34,41102569472.0
35,38981320704.0
36,38215024640.0
37,35212640256.0
38,32968466432.0
39,31094806528.0
40,29929213952.0
41,28900808704.0
42,25949642752.0
43,24036503552.0
44,23115245568.0
45,22225960960.0
46,21153320960.0
47,20442472448.0
48,19868729344.0
49,18543890432.0
50,17911881728.0
51,16941508608.0
52,16502941696.0
53,15636797440.0
54,14896110592.0
55,14182309888.0
56,13488732160.0
57,12990494720.0
58,12512251904.0
59,12091182080.0
