n_clusters,inertia_kmeans,inertia_minibatch
3,6971770011648.0,7063033872384.0
4,3747015819264.0,3762030116864.0
5,2173312434176.0,2640063758336.0
6,1422028963840.0,1457682251776.0
7,996058791936.0,1103629778944.0
8,722582831104.0,914166120448.0
9,549234933760.0,576624852992.0
10,447351455744.0,451010101248.0
11,374845407232.0,387672834048.0
12,336010313728.0,351201787904.0
13,273302224896.0,305596530688.0
14,235566694400.0,253820731392.0
15,211806486528.0,214162374656.0
16,192679084032.0,196783128576.0
17,154785005568.0,166738739200.0
18,134166233088.0,159828754432.0
19,120506646528.0,133774802944.0
20,108064743424.0,118171402240.0
21,103263567872.0,105704808448.0
22,91674853376.0,101009047552.0
23,81735860224.0,92236955648.0
24,75731410944.0,100878671872.0
25,69981585408.0,81884135424.0
26,63423471616.0,82806595584.0
27,60628307968.0,68821065728.0
28,57446629376.0,66525245440.0
29,51609075712.0,59876016128.0
