k,silhouette,davies_bouldin,calinski_harabasz
6,0.6466619,0.46351792441556267,416557.56
8,0.6376563,0.46540539057387464,590221.75
9,0.6411224,0.4588289479530538,680802.8
9,0.6411224,0.4588289479530538,680802.8
9,0.6411224,0.4588289479530538,680802.8
